categoria,palavra
Mamífero,tigre
Ave,coruja
Peixe,salmão
Mamífero,vaca
Outros,medusa
Inseto,abelha
Réptil,crocodilo
Inseto,cigarra
Inseto,besouro
Réptil,jacaré
Crustáceo,caranguejo
Crustáceo,caranguejo
Mamífero,leão
Molusco,polvo
Mamífero,gato
Réptil,crocodilo
Mamífero,tigre
Crustáceo,sirí
Peixe,tilápia
Mamífero,zebra
Peixe,arraia
Outros,esponja-do-mar
Anfíbio,perereca
Mamífero,vaca
Outros,esponja-do-mar
Outros,esponja-do-mar
Outros,esponja-do-mar
Inseto,cigarra
Mamífero,camelo
Réptil,tartaruga
Ave,ema
Peixe,atum
Inseto,borboleta
Outros,esponja-do-mar
Ave,ema
Crustáceo,camarão
Mamífero,urso
Ave,arara
Mamífero,lhama
Inseto,besouro
Crustáceo,caranguejo
Peixe,tilápia
Anfíbio,salamandra
Réptil,crocodilo
Outros,esponja-do-mar
Crustáceo,sirí
Mamífero,cachorro
Réptil,lagarto
Anfíbio,sapo
Peixe,arraia
Peixe,piranha
Crustáceo,caranguejo
Ave,tucano
Ave,pinguim
Inseto,formiga
Ave,coruja
Mamífero,zebra
Outros,esponja-do-mar
Ave,pinguim
Crustáceo,caranguejo
Inseto,barata
Molusco,polvo
Outros,medusa
Crustáceo,camarão
Mamífero,ornitorrinco
Réptil,lagarto
Ave,águia
Inseto,besouro
Ave,pomba
Outros,esponja-do-mar
Outros,medusa
Réptil,tartaruga
Peixe,piranha
Inseto,mosquito
Outros,medusa
Outros,estrela-do-mar
Réptil,iguana
Crustáceo,sirí
Mamífero,coelho
Réptil,lagarto
Mamífero,leão
Molusco,marisco
Peixe,piranha
Mamífero,elefante
Outros,medusa
Outros,ouriço-do-mar
Inseto,cigarra
Ave,pinguim
Inseto,besouro
Inseto,formiga
Peixe,carpa
Anfíbio,rã
Inseto,barata
Crustáceo,caranguejo
Outros,estrela-do-mar
Anfíbio,rã
Mamífero,urso
Peixe,bacalhau
Ave,tucano
Inseto,formiga
Inseto,cigarra
Outros,ouriço-do-mar
Outros,ouriço-do-mar
Molusco,marisco
Crustáceo,caranguejo
Peixe,tilápia
Inseto,grilo
Anfíbio,rã
Mamífero,lhama
Molusco,ostra
Ave,pomba
Inseto,libélula
Inseto,grilo
Inseto,borboleta
Anfíbio,salamandra
Inseto,besouro
Réptil,lagarto
Mamífero,camelo
Crustáceo,sirí
Outros,medusa
Réptil,iguana
Outros,esponja-do-mar
Inseto,formiga
Peixe,salmão
Peixe,carpa
Inseto,abelha
Crustáceo,caranguejo
Crustáceo,camarão
Ave,ema
Inseto,besouro
Molusco,ostra
Molusco,caramujo
Inseto,besouro
Molusco,caramujo
Peixe,arraia
Mamífero,elefante
Ave,pomba
Crustáceo,sirí
Réptil,lagarto
Outros,estrela-do-mar
Molusco,caramujo
Réptil,cobra
Inseto,besouro
Mamífero,baleia
Outros,medusa
Mamífero,leão
Crustáceo,lagosta
Ave,papagaio
Peixe,atum
Crustáceo,camarão
Crustáceo,caranguejo
Mamífero,baleia
Réptil,crocodilo
Mamífero,tigre
Outros,ouriço-do-mar
Outros,ouriço-do-mar
Peixe,tilápia
Molusco,lula
Peixe,carpa
Ave,galinha
Molusco,caramujo
Outros,medusa
Anfíbio,sapo
Crustáceo,sirí
Molusco,polvo
Mamífero,morcego
Crustáceo,sirí
Outros,medusa
Réptil,lagarto
Réptil,crocodilo
Anfíbio,rã
Mamífero,urso
Anfíbio,sapo
Crustáceo,caranguejo
Mamífero,vaca
Inseto,cigarra
Mamífero,cachorro
Anfíbio,salamandra
Peixe,atum
Peixe,salmão
Peixe,arraia
Anfíbio,sapo
Inseto,mosquito
Molusco,lula
Crustáceo,lagosta
Outros,esponja-do-mar
Crustáceo,lagosta
Crustáceo,caranguejo
Molusco,polvo
Peixe,atum
Molusco,polvo
Réptil,jacaré
Molusco,ostra
Outros,estrela-do-mar
Molusco,caramujo
Inseto,barata
Inseto,besouro
Crustáceo,caranguejo
Ave,pinguim
Ave,tucano
Inseto,formiga
Anfíbio,salamandra
Réptil,lagarto
Réptil,lagarto
Réptil,iguana
Mamífero,elefante
Ave,arara
Mamífero,gato
Réptil,crocodilo
Molusco,marisco
Anfíbio,salamandra
Mamífero,cachorro
Réptil,jacaré
Molusco,polvo
Réptil,tartaruga
Mamífero,leão
Molusco,lula
Anfíbio,rã
Crustáceo,camarão
Réptil,jacaré
Mamífero,tigre
Inseto,grilo
Inseto,besouro
Mamífero,cachorro
Outros,estrela-do-mar
Ave,falcão
Peixe,bacalhau
Réptil,camaleão
Mamífero,zebra
Outros,medusa
Crustáceo,camarão
Inseto,mosquito
Crustáceo,caranguejo
Peixe,arraia
Inseto,abelha
Inseto,cigarra
Mamífero,ornitorrinco
Peixe,salmão
Crustáceo,lagosta
Inseto,libélula
Ave,tucano
Outros,ouriço-do-mar
Crustáceo,caranguejo
Anfíbio,rã
Inseto,grilo
Molusco,ostra
Outros,ouriço-do-mar
Crustáceo,caranguejo
Peixe,tubarão
Réptil,iguana
Anfíbio,perereca
Réptil,jacaré
Réptil,tartaruga
Ave,papagaio
Ave,galinha
Inseto,abelha
Peixe,arraia
Réptil,cobra
Crustáceo,caranguejo
Peixe,carpa
Outros,estrela-do-mar
Outros,estrela-do-mar
Inseto,barata
Peixe,tilápia
Anfíbio,sapo
Ave,galinha
Ave,ema
Crustáceo,camarão
Réptil,iguana
Réptil,lagarto
Mamífero,vaca
Anfíbio,rã
Mamífero,zebra
Crustáceo,lagosta
Ave,águia
Outros,medusa
Crustáceo,lagosta
Crustáceo,camarão
Ave,pomba
Ave,tucano
Crustáceo,camarão
Mamífero,ornitorrinco
Outros,ouriço-do-mar
Peixe,peixe-palhaço
Outros,medusa
Mamífero,ornitorrinco
Réptil,cobra
Peixe,bacalhau
Crustáceo,lagosta
Molusco,polvo
Crustáceo,caranguejo
Réptil,crocodilo
Mamífero,cavalo
Anfíbio,sapo
Molusco,caramujo
Anfíbio,salamandra
Crustáceo,camarão
Ave,falcão
Ave,ema
Mamífero,cavalo
Peixe,tubarão
Anfíbio,sapo
Réptil,iguana
Outros,estrela-do-mar
Mamífero,camelo
Crustáceo,sirí
Crustáceo,camarão
Réptil,tartaruga
Crustáceo,sirí
Ave,galinha
Mamífero,urso
Réptil,tartaruga
Réptil,iguana
Peixe,arraia
Outros,esponja-do-mar
