categoria,palavra
Tecnologia,carregador
Outros,guarda-chuva
Tecnologia,televisão
Cozinha,ralador
Tecnologia,carregador
Outros,moeda
Cozinha,prato
Escola,estojo
Outros,lanterna
Banheiro,shampoo
Outros,sacola
Tecnologia,controle remoto
Ferramenta,chave inglesa
Escritório,mouse
Outros,chave
Tecnologia,tablet
Banheiro,condicionador
Ferramenta,trena
Tecnologia,controle remoto
Escritório,mouse
Ferramenta,martelo
Outros,relógio
Escritório,computador
Casa,geladeira
Banheiro,escova de dente
Cozinha,colher
Casa,fogão
Escola,caderno
Escritório,borracha
Ferramenta,furadeira
Outros,óculos
Outros,lanterna
Cozinha,colher
Casa,mesa
Escritório,caneta
Banheiro,desodorante
Outros,moeda
Outros,óculos
Escola,livro
Outros,óculos
Escritório,borracha
Cozinha,panela
Ferramenta,serrote
Casa,liquidificador
Banheiro,espelho
Casa,cama
Cozinha,panela
Escritório,clipe
Escola,caderno
Outros,relógio
Ferramenta,serrote
Banheiro,shampoo
Escritório,clipe
Escola,mochila
Casa,fogão
Outros,guarda-chuva
Banheiro,shampoo
Cozinha,ralador
Tecnologia,carregador
Banheiro,escova de dente
Escola,caderno
Banheiro,toalha
Ferramenta,trena
Casa,cama
Escritório,grampeador
Escola,estojo
Escola,apontador
Escritório,computador
Casa,micro-ondas
Tecnologia,carregador
Tecnologia,notebook
Outros,lanterna
Banheiro,condicionador
Cozinha,copo
Tecnologia,controle remoto
Tecnologia,pendrive
Cozinha,garfo
Tecnologia,celular
Banheiro,espelho
Outros,guarda-chuva
Cozinha,colher de pau
Tecnologia,celular
Outros,guarda-chuva
Casa,fogão
Outros,chave
Escola,quadro branco
Casa,sofá
Cozinha,faca
Escritório,cadeira giratória
Outros,sacola
Escritório,borracha
Outros,maleta
Escritório,clipe
Casa,cama
Banheiro,shampoo
Escritório,grampeador
Tecnologia,notebook
Escola,lousa
Tecnologia,pendrive
Escola,mochila
Tecnologia,televisão
Escritório,cadeira giratória
Casa,geladeira
Escola,lousa
Outros,óculos
Escritório,lápis
Casa,micro-ondas
Escritório,clipe
Ferramenta,chave de fenda
Casa,mesa
Cozinha,colher de pau
Casa,mesa
Cozinha,copo
Tecnologia,notebook
Ferramenta,broca
Ferramenta,chave de fenda
Banheiro,escova de dente
Tecnologia,fone de ouvido
Ferramenta,chave inglesa
Outros,relógio
Tecnologia,controle remoto
Escola,lousa
Escola,quadro branco
Outros,controle
Tecnologia,fone de ouvido
Casa,cama
Banheiro,escova de dente
Tecnologia,fone de ouvido
Cozinha,garfo
Ferramenta,chave de fenda
Cozinha,panela
Outros,chave
Casa,micro-ondas
Cozinha,faca
Escola,mochila
Banheiro,espelho
Casa,fogão
Casa,geladeira
Casa,cama
Casa,fogão
Escola,quadro branco
Ferramenta,serrote
Escola,giz
Outros,chave
Banheiro,shampoo
Cozinha,escorredor
Escola,régua
Outros,chave
Tecnologia,controle remoto
Casa,sofá
Escritório,caneta
Outros,chave
Outros,sacola
Cozinha,colher
Banheiro,espelho
Tecnologia,notebook
Outros,moeda
Ferramenta,serrote
Outros,moeda
Casa,micro-ondas
Cozinha,panela
Ferramenta,chave de fenda
Escritório,agenda
Tecnologia,controle remoto
Ferramenta,chave de fenda
Casa,geladeira
Escritório,caneta
Escola,caderno
Escola,marcador
Escola,marcador
Cozinha,colher de pau
Tecnologia,tablet
Tecnologia,notebook
Casa,liquidificador
Tecnologia,pendrive
Escritório,cadeira giratória
Escola,quadro branco
Outros,chave
Escola,régua
Escola,régua
Outros,maleta
Outros,guarda-chuva
Escola,apontador
Escritório,cadeira giratória
Cozinha,colher
Casa,sofá
Banheiro,escova de dente
Escola,caderno
Tecnologia,notebook
Ferramenta,chave inglesa
Tecnologia,carregador
Escola,lousa
Banheiro,toalha
Ferramenta,furadeira
Tecnologia,fone de ouvido
Cozinha,copo
Ferramenta,chave de fenda
Escola,mochila
Ferramenta,serrote
Ferramenta,chave de fenda
Cozinha,prato
Outros,controle
Tecnologia,notebook
Escritório,lápis
Ferramenta,trena
Casa,espelho
Escola,lousa
Escola,marcador
Ferramenta,martelo
Banheiro,pasta de dente
Escola,livro
Cozinha,garfo
Escola,mochila
Ferramenta,furadeira
Tecnologia,pendrive
Escola,livro
Banheiro,sabonete
Casa,micro-ondas
Outros,relógio
Cozinha,ralador
Banheiro,pasta de dente
Ferramenta,parafuso
Banheiro,escova de dente
Banheiro,espelho
Casa,mesa
Banheiro,toalha
Banheiro,pasta de dente
Casa,mesa
Outros,maleta
Cozinha,prato
Cozinha,prato
Escola,marcador
Tecnologia,notebook
Cozinha,copo
Escritório,borracha
Banheiro,escova de dente
Escola,lousa
Ferramenta,furadeira
Cozinha,panela
Banheiro,sabonete
Ferramenta,broca
Tecnologia,controle remoto
Casa,sofá
Cozinha,panela
Tecnologia,televisão
Banheiro,sabonete
Escritório,clipe
Escritório,clipe
Cozinha,colher
Banheiro,escova de dente
Tecnologia,televisão
Casa,liquidificador
Casa,espelho
Ferramenta,serrote
Outros,sacola
Escritório,mouse
Ferramenta,trena
Banheiro,pente
Escritório,cadeira giratória
Escritório,clipe
Cozinha,colher de pau
Outros,moeda
Ferramenta,chave inglesa
Escola,mochila
Tecnologia,pendrive
Escola,estojo
Escritório,agenda
Escola,marcador
Cozinha,prato
Ferramenta,parafuso
Escritório,borracha
Cozinha,panela
Escola,estojo
Tecnologia,fone de ouvido
Casa,cadeira
Banheiro,escova de dente
Ferramenta,martelo
Escola,giz
Casa,liquidificador
Tecnologia,notebook
Tecnologia,pendrive
Escritório,mouse
Escola,giz
Escola,giz
Banheiro,desodorante
Escritório,lápis
Casa,fogão
Escola,marcador
Outros,óculos
Cozinha,colher de pau
Outros,moeda
Escola,estojo
Outros,óculos
Tecnologia,televisão
Casa,liquidificador
Casa,cadeira
Cozinha,prato
Banheiro,shampoo
Outros,moeda
Escritório,caneta
Tecnologia,televisão
Outros,lanterna
Outros,moeda
Banheiro,pasta de dente
Tecnologia,carregador
Cozinha,colher
Casa,armário
Outros,óculos
Cozinha,faca
Casa,sofá
Escritório,lápis
Escritório,borracha
Ferramenta,alicate
Casa,sofá
Escola,marcador
Escritório,teclado
Ferramenta,alicate
Escritório,teclado
Banheiro,sabonete
Banheiro,espelho
Tecnologia,carregador
Escola,régua
Outros,maleta
Cozinha,garfo
Tecnologia,televisão
Casa,cadeira
Outros,controle
Banheiro,desodorante
Cozinha,faca
Outros,chave
Banheiro,condicionador
Cozinha,escorredor
Tecnologia,controle remoto
Banheiro,shampoo
Banheiro,escova de dente
Escola,apontador
Tecnologia,tablet
Ferramenta,broca
Outros,óculos
Banheiro,condicionador
Tecnologia,celular
Casa,geladeira
Tecnologia,controle remoto
